,county_fips,period_end,property_type,property_type_id,median_sale_price_yoy,median_list_price_yoy,median_ppsf_yoy,median_list_ppsf_yoy,homes_sold_yoy,new_listings_yoy,inventory_yoy,months_of_supply_yoy,median_dom_yoy,avg_sale_to_list_yoy,sold_above_list_yoy,date,year,month
959,48119,2013-12-31,All Residential,-1,0.306501547987616,0.317175974710221,0.832376679178736,0.577300679684971,-0.75,-0.4,-0.147058823529412,20.5,-65.0,-0.1372376527046,0.0,2013-12-31,2013,12
980,45029,2021-12-31,All Residential,-1,0.0268948655256724,-0.156153846153846,0.465606948058843,-0.223608181516431,-0.152173913043478,0.238095238095238,0.0,0.4,-12.0,-0.0032896895153819,0.198996655518395,2021-12-31,2021,12
996,08115,2015-12-31,All Residential,-1,2.3502538071066,,1.09034435531207,,-0.75,,0.5,5.0,-381.0,0.0035327053898481,0.0,2015-12-31,2015,12
1006,05061,2021-12-31,All Residential,-1,0.0,0.462089552238806,0.36253478664193,0.398530916646814,0.8,-0.428571428571429,-0.565217391304348,-3.5,-36.0,0.0053488054781956,-0.0888888888888889,2021-12-31,2021,12
1023,55035,2015-12-31,All Residential,-1,0.184230769230769,0.0643316654753396,0.0750530052391942,-0.0393826278029278,0.240506329113924,-0.169491525423729,-0.170940170940171,-1.9,-18.0,-0.002095856146889,0.0517954017049857,2015-12-31,2015,12
1024,13105,2018-12-31,All Residential,-1,0.21890243902439,0.250312891113892,0.170091061801085,-0.0066136899058378,-0.333333333333333,-0.454545454545454,-0.06,1.7,19.0,0.0664583144366268,-0.0416666666666666,2018-12-31,2018,12
1032,28071,2016-12-31,All Residential,-1,-0.391139240506329,,-0.55577768265287,,3.0,,2.0,-1.0,-103.0,0.280257906158311,0.0,2016-12-31,2016,12
1041,13095,2021-12-31,All Residential,-1,3.71882352941176,,1.08606149494526,,2.0,,-0.153846153846154,-9.3,57.0,-0.0561889042005279,0.0,2021-12-31,2021,12
1058,08005,2017-12-31,All Residential,-1,0.0952380952380953,0.102809440339341,0.122836780347446,0.120894515304208,-0.171039844509232,-0.125,-0.211009174311927,0.0,-3.0,0.0029675674625921,0.0226092781778596,2017-12-31,2017,12
1066,55011,2021-12-31,All Residential,-1,0.185770750988142,0.264957264957265,0.603882096014894,0.683181178508282,0.0,0.285714285714286,0.4,0.8,2.0,0.0415833151863341,0.0,2021-12-31,2021,12
