,home_value_median,median_ppsf,median_list_price,median_list_ppsf,median_sale_price
609,81600.0,58.8175034506556,61700.0,50.855730419183,133500.0
640,127300.0,81.8253343823761,128450.0,83.4151919205532,132000.0
641,142100.0,86.7269984917044,143750.0,92.672750854106,146000.0
642,137000.0,89.5461539033291,148111.0,91.8199937225361,137500.0
643,143300.0,91.6066260518508,143450.0,89.0442586816994,154000.0
644,134100.0,92.6132145508538,163500.0,96.176545789373,150850.0
645,153600.0,92.9869241510309,149900.0,97.6832344357036,165000.0
750,140200.0,85.9297975447846,141900.0,84.7260909935005,142000.0
751,153200.0,83.5368690393115,128450.0,78.2693965517241,158319.0
752,153800.0,87.8944704948836,150533.5,91.0333911535126,169600.0
753,156300.0,91.0874439461883,150000.0,89.3103448275862,153250.0
754,164700.0,89.5283453525641,150000.0,95.5024849745724,170000.0
755,157900.0,95.4961056552658,160000.0,95.8585858585858,185000.0
771,138600.0,86.5671641791045,159900.0,91.3561812665908,149000.0
772,147200.0,89.5161290322581,155000.0,90.4558515264782,160000.0
773,154100.0,93.9685314685314,149900.0,94.1305300043802,152500.0
774,154100.0,93.9839772523766,153395.0,98.0850308801549,188700.0
775,157500.0,101.155584528466,179800.0,98.5469641930462,179500.0
776,171900.0,99.322052669467,175325.0,103.889949109415,212500.0
842,159800.0,88.8302568546343,155000.0,92.4671664342166,146700.0
843,159600.0,87.5823259240002,154900.0,97.8198702771926,156982.5
844,168100.0,97.4190869692398,166852.5,105.327631543777,185937.5
845,172200.0,105.823244552058,185000.0,110.253082414017,190000.0
846,169800.0,112.658514492754,199700.0,117.57577379375,204000.0
847,191700.0,118.936877076412,198651.5,121.935476924071,232000.0
852,131200.0,74.5526555732847,114900.0,69.5552208835341,114213.0
853,104900.0,68.3760683760684,110000.0,65.2631578947368,106000.0
854,117300.0,65.4388714733542,109500.0,75.7165963413206,130000.0
855,118400.0,80.7335726549087,119000.0,75.2635542168675,99500.0
856,123300.0,74.2303507424475,104950.0,75.9211595991144,146750.0
857,123900.0,83.7421165571926,114500.0,79.5417646134847,146687.5
875,587600.0,374.732334047109,525000.0,367.730900798176,656000.0
876,656700.0,431.67252617746,599000.0,414.210802307289,678000.0
877,713600.0,450.941526263627,685000.0,446.712632201386,781000.0
878,781000.0,523.127753303965,705000.0,486.809357889497,780000.0
879,842000.0,528.996865203762,769888.0,518.995929443691,815000.0
880,882100.0,528.31811500891,749000.0,519.43012255085,910000.0
903,225400.0,145.803357314149,237450.0,157.461240310078,250000.0
